"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"CF10D0",18948,12494,12226,12233,12008,13819
"CF10W1",18059,12073,11831,11870,11440,12692
"CF11D0",17232,12078,11801,11833,11463,12470
"CF11W1",25508,16859,16506,16538,15969,17662
"CF12D0",26530,17649,17287,17362,16994,19154
"CF12W1",31306,19284,18964,19022,18530,20854
"CF13D0",11358,5953,5800,5816,5731,6492
"CF13W1",31019,18408,18176,18233,17782,19601
"CF13W2",21433,11129,10941,10977,10498,11421
"CF13W3",19652,12389,12166,12185,11786,13608
"CF14D0",28629,18075,17806,17847,17636,20322
"CF14W1",50242,33238,32935,32976,31693,32124
"CF14W2",36483,25107,24866,24962,23942,26452
"CF14W3",34016,22598,22346,22454,21221,22991
"CF15D0",24043,9458,9290,9261,9128,10333
"CF15W1",25333,16595,16324,16335,15864,17553
"CF15W2",8722,2635,2503,2583,2437,2600
"CF15W3",30536,17423,17139,17229,16543,18504
"CF16D0",38211,22743,22455,22490,22067,25483
"CF16W1",22755,13024,12815,12861,12598,14128
"CF16W2",34125,23775,23624,23654,22787,24545
"CF16W3",36710,25715,25544,25569,24628,27505
"CF17D0",10256,3416,3335,3326,3268,3744
"CF17W1",20019,13710,13463,13554,13176,14682
"CF17W2",37786,25964,25723,25770,23294,26303
"CF17W3",35197,25307,25109,25157,23063,25227
"CF18D0",30914,21115,20770,20845,20412,23059
"CF18W1",24029,15334,15087,15159,14851,16640
"CF18W2",33870,23462,23074,23149,22342,25198
"CF18W3",10678,5227,5100,5120,4977,5733
"CF1D0",23277,14798,14571,14643,14356,16110
"CF1W1",30883,20586,20346,20358,19670,22374
"CF2D0",19121,3850,3735,3778,3643,3947
"CF2W1",7063,3025,2908,2955,2852,3360
"CF3D0",9504,6126,5862,5943,5721,6319
"CF3W1",18683,10431,10259,10299,9971,11067
"CF4D0",14606,3423,3297,3329,3239,3561
"CF4W1",30257,20382,20181,20221,19603,21408
"CF5D0",13945,1537,1474,1467,1406,1569
"CF5W1",17023,10289,10037,10074,9809,11515
"CF6D0",15296,8647,8466,8537,8290,9171
"CF6W1",34779,22686,22393,22435,21403,24106
"CF7D0",7091,3756,3648,3665,3564,4149
"CF7W1",21857,13718,13477,13478,12891,13956
"CF8D0",11361,3563,3468,3467,3397,3877
"CF8W1",30289,20123,19778,19861,19288,21807
"CF9D0",8201,3523,3366,3374,3251,3667
"CF9W1",23144,15793,15513,15482,15109,17150
"ContSwabD0",306,79,31,23,16,4
"ContSwabW1S1",18092,10676,10416,10464,10118,11385
"ContSwabW1S2",216,58,29,28,22,15
"ContSwabW2S1",376,169,108,125,94,84
"ContSwabW3S1",374,157,92,113,81,68
"NPC1006221",66,5,1,2,0,0
"NPC1006222",13,4,2,2,0,8
"NPC1017221",112,34,7,18,7,2
"NPC1017222",78,30,4,9,3,23
"NPC91522",152,56,27,33,18,9
"NXC100522",100,20,7,7,7,4
"NXC101322",245,17,4,4,4,8389
"NXC10322",11822,7512,7434,7459,7382,2379
"NXC91322",3907,2157,2119,2115,2087,1
"NXC92222",267,8,1,1,0,0
"P1F10D0",14680,9718,9516,9548,9355,10312
"P1F10W1",34785,24222,23888,24016,22815,24652
"P1F11D0",19903,11323,10995,11038,10883,12346
"P1F11W1",31446,20909,20544,20528,20156,23482
"P1F12D0",4622,1984,1881,1918,1851,2103
"P1F12W1",30159,18048,17748,17726,17229,19144
"P1F13D0",20578,13834,13565,13631,13408,15198
"P1F13W1",15604,8789,8584,8662,8256,9172
"P1F13W2",26961,18061,17774,17895,16972,18598
"P1F13W3",17526,11084,10792,10817,10464,12341
"P1F14D0",15460,9963,9744,9785,9427,10559
"P1F14W1",10999,5963,5786,5864,5597,6064
"P1F14W2",44087,31156,30872,30992,29946,31663
"P1F14W3",30731,17801,17456,17580,16396,18503
"P1F15D0",24235,16415,16073,16130,15704,17521
"P1F15W1",14933,9821,9644,9665,9467,10977
"P1F15W2",6323,1968,1886,1907,1802,2054
"P1F15W3",32785,21488,21083,21138,20312,22265
"P1F16D0",20803,13837,13531,13618,13012,14791
"P1F16W1",32374,21140,20852,20985,20023,21015
"P1F16W2",13012,7444,7298,7393,7009,7807
"P1F16W3",46256,33004,32659,32794,30514,32743
"P1F17D0",13736,6797,6615,6645,6479,7376
"P1F17W1",6327,1734,1664,1679,1566,1698
"P1F17W2",29418,21433,21175,21210,19969,21918
"P1F17W3",43691,32171,31834,31939,29698,31022
"P1F18D0",12864,4331,4167,4203,4107,4627
"P1F18W1",18353,602,498,501,455,514
"P1F18W2",41942,27110,26606,26726,25657,28422
